first,last,name,identity,w.asian,mean.correct
Thomas,Wagner,Thomas Wagner,White,0,0.930693069
Richard,Hoffman,Richard Hoffman,White,0,0.924731183
Mary,Meyer,Mary Meyer,White,0,0.911111111
Richard,Schmidt,Richard Schmidt,White,0,0.905263158
Thomas,Snyder,Thomas Snyder,White,0,0.904761905
Michael,Wagner,Michael Wagner,White,0,0.9
Robert,Snyder,Robert Snyder,White,0,0.889908257
Mark,Meyer,Mark Meyer,White,0,0.885714286
Mark,Hoffman,Mark Hoffman,White,0,0.885714286
David,Ryan,David Ryan,White,0,0.885714286
Mary,Ryan,Mary Ryan,White,0,0.884210526
John,Schmidt,John Schmidt,White,0,0.88172043
William,Schmidt,William Schmidt,White,0,0.873873874
James,Hoffman,James Hoffman,White,0,0.87254902
Robert,Hoffman,Robert Hoffman,White,0,0.87254902
Mark,Hansen,Mark Hansen,White,0,0.872340426
John,Ryan,John Ryan,White,0,0.87037037
William,Snyder,William Snyder,White,0,0.869565217
Richard,Meyer,Richard Meyer,White,0,0.864583333
Thomas,Meyer,Thomas Meyer,White,0,0.864197531
Thomas,Schmidt,Thomas Schmidt,White,0,0.86407767
John,Snyder,John Snyder,White,0,0.859649123
David,Snyder,David Snyder,White,0,0.858585859
David,Wagner,David Wagner,White,0,0.857142857
David,Hoffman,David Hoffman,White,0,0.854166667
John,Meyer,John Meyer,White,0,0.8515625
Thomas,Olson,Thomas Olson,White,0,0.85
Mark,Wagner,Mark Wagner,White,0,0.849462366
James,Ryan,James Ryan,White,0,0.848837209
Mary,Snyder,Mary Snyder,White,0,0.848214286
Michael,Hoffman,Michael Hoffman,White,0,0.847826087
William,Wagner,William Wagner,White,0,0.847826087
William,Hoffman,William Hoffman,White,0,0.847619048
David,Schmidt,David Schmidt,White,0,0.846153846
David,Meyer,David Meyer,White,0,0.846153846
James,Snyder,James Snyder,White,0,0.845238095
James,Schmidt,James Schmidt,White,0,0.844660194
Mary,Hoffman,Mary Hoffman,White,0,0.84375
Thomas,Larson,Thomas Larson,White,0,0.839622642
Mark,Schmidt,Mark Schmidt,White,0,0.838709677
Thomas,Hansen,Thomas Hansen,White,0,0.838095238
John,Hoffman,John Hoffman,White,0,0.837837838
David,Olson,David Olson,White,0,0.836538462
William,Larson,William Larson,White,0,0.835294118
Richard,Olson,Richard Olson,White,0,0.833333333
John,Olson,John Olson,White,0,0.828282828
Richard,Ryan,Richard Ryan,White,0,0.827956989
Robert,Wagner,Robert Wagner,White,0,0.825688073
Mary,Schmidt,Mary Schmidt,White,0,0.824175824
Thomas,Hoffman,Thomas Hoffman,White,0,0.82300885
Thomas,Ryan,Thomas Ryan,White,0,0.819672131
Mark,Ryan,Mark Ryan,White,0,0.819148936
Mark,Snyder,Mark Snyder,White,0,0.819047619
John,Larson,John Larson,White,0,0.819047619
Robert,Ryan,Robert Ryan,White,0,0.818181818
Robert,Meyer,Robert Meyer,White,0,0.817307692
Michael,Meyer,Michael Meyer,White,0,0.815533981
Michael,Snyder,Michael Snyder,White,0,0.815217391
Mary,Olson,Mary Olson,White,0,0.815217391
Mary,Wagner,Mary Wagner,White,0,0.81443299
Richard,Wagner,Richard Wagner,White,0,0.81443299
Robert,Larson,Robert Larson,White,0,0.814159292
David,Larson,David Larson,White,0,0.8125
John,Hansen,John Hansen,White,0,0.804347826
Mark,Larson,Mark Larson,White,0,0.803921569
Robert,Olson,Robert Olson,White,0,0.801980198
Mary,Hansen,Mary Hansen,White,0,0.801886792
William,Meyer,William Meyer,White,0,0.8
Richard,Larson,Richard Larson,White,0,0.798165138
Robert,Hansen,Robert Hansen,White,0,0.798076923
Robert,Schmidt,Robert Schmidt,White,0,0.796116505
Mark,Olson,Mark Olson,White,0,0.788990826
David,Hansen,David Hansen,White,0,0.788461538
Michael,Schmidt,Michael Schmidt,White,0,0.787878788
Michael,Hansen,Michael Hansen,White,0,0.787234043
James,Meyer,James Meyer,White,0,0.786407767
William,Ryan,William Ryan,White,0,0.785714286
James,Olson,James Olson,White,0,0.78125
William,Hansen,William Hansen,White,0,0.774193548
Michael,Ryan,Michael Ryan,White,0,0.764044944
Richard,Hansen,Richard Hansen,White,0,0.762886598
Richard,Johnston,Richard Johnston,White,0,0.760869565
Mary,Johnston,Mary Johnston,White,0,0.757894737
John,Wagner,John Wagner,White,0,0.757009346
Richard,Snyder,Richard Snyder,White,0,0.756410256
David,Johnston,David Johnston,White,0,0.755319149
Mark,Johnston,Mark Johnston,White,0,0.755319149
James,Larson,James Larson,White,0,0.752688172
John,Johnston,John Johnston,White,0,0.747572816
Mary,Larson,Mary Larson,White,0,0.747126437
James,Wagner,James Wagner,White,0,0.741573034
Michael,Larson,Michael Larson,White,0,0.7375
Michael,Olson,Michael Olson,White,0,0.729508197
James,Hansen,James Hansen,White,0,0.724137931
William,Olson,William Olson,White,0,0.717391304
Thomas,Johnston,Thomas Johnston,White,0,0.697916667
William,Johnston,William Johnston,White,0,0.689655172
Robert,Johnston,Robert Johnston,White,0,0.68
Lakisha,Jackson,Lakisha Jackson,Black or African American,0,0.891304348
Tamika,Jackson,Tamika Jackson,Black or African American,0,0.86440678
Latasha,Jackson,Latasha Jackson,Black or African American,0,0.852459016
Lakisha,Wood,Lakisha Wood,Black or African American,0,0.849056604
Latoya,Jackson,Latoya Jackson,Black or African American,0,0.830985915
Tamika,Williams,Tamika Williams,Black or African American,0,0.815384615
Latonya,Williams,Latonya Williams,Black or African American,0,0.808823529
Latasha,Burke,Latasha Burke,Black or African American,0,0.806451613
Tanisha,Washington,Tanisha Washington,Black or African American,0,0.8
Tamika,Fox,Tamika Fox,Black or African American,0,0.793650794
Latoya,Burke,Latoya Burke,Black or African American,0,0.790322581
Lakisha,Stone,Lakisha Stone,Black or African American,0,0.789473684
Latasha,Williams,Latasha Williams,Black or African American,0,0.782608696
Tanisha,Williams,Tanisha Williams,Black or African American,0,0.777777778
Lakisha,Williams,Lakisha Williams,Black or African American,0,0.768115942
Ebony,Jackson,Ebony Jackson,Black or African American,0,0.763636364
Latoya,Washington,Latoya Washington,Black or African American,0,0.763636364
Latonya,Fox,Latonya Fox,Black or African American,0,0.76056338
Tanisha,Fox,Tanisha Fox,Black or African American,0,0.756097561
Tamika,Wood,Tamika Wood,Black or African American,0,0.75
Lakisha,Washington,Lakisha Washington,Black or African American,0,0.75
Latasha,Fox,Latasha Fox,Black or African American,0,0.75
Jermaine,Wood,Jermaine Wood,Black or African American,0,0.746031746
Latonya,Weaver,Latonya Weaver,Black or African American,0,0.745762712
Jermaine,Jackson,Jermaine Jackson,Black or African American,0,0.742424242
Ebony,Williams,Ebony Williams,Black or African American,0,0.741935484
Tamika,Burke,Tamika Burke,Black or African American,0,0.73015873
Latonya,Washington,Latonya Washington,Black or African American,0,0.72972973
Latonya,Stone,Latonya Stone,Black or African American,0,0.727272727
Lakisha,Carpenter,Lakisha Carpenter,Black or African American,0,0.727272727
Latonya,Wood,Latonya Wood,Black or African American,0,0.725806452
Tanisha,Jackson,Tanisha Jackson,Black or African American,0,0.725490196
Ebony,Fox,Ebony Fox,Black or African American,0,0.724137931
Tamika,Carpenter,Tamika Carpenter,Black or African American,0,0.723076923
Latasha,Washington,Latasha Washington,Black or African American,0,0.720588235
Tanisha,Stone,Tanisha Stone,Black or African American,0,0.719298246
Jermaine,Williams,Jermaine Williams,Black or African American,0,0.71875
